t x y z
1.000000119209289551e+00 7.147683143615722656e+00 1.645654449462890625e+02 1.798479980468750000e+03
7.000000476837158203e-01 9.486378669738769531e+00 3.480830688476562500e+02 4.695391601562500000e+03
2.000000029802322388e-01 1.379044342041015625e+01 8.275827636718750000e+02 1.511638964843750000e+04
1.000000014901161194e-01 7.355624198913574219e+00 4.932580566406250000e+02 4.872266601562500000e+03
2.000000029802322388e-01 8.098800659179687500e+00 4.942164916992187500e+02 5.420994140625000000e+03
8.000000715255737305e-01 1.148349857330322266e+01 3.771902160644531250e+02 6.471194335937500000e+03
7.000000476837158203e-01 9.143766403198242188e+00 3.349266357421875000e+02 4.326799804687500000e+03
0.000000000000000000e+00 0.000000000000000000e+00 9.626798706054687500e+02 1.175326855468750000e+04
6.000000238418579102e-01 1.530255794525146484e+01 6.361189575195312500e+02 1.365609472656250000e+04
1.000000014901161194e-01 7.703865051269531250e+00 5.150732421875000000e+02 5.359975585937500000e+03
0.000000000000000000e+00 3.024338722229003906e+00 1.484702636718750000e+03 2.886042968750000000e+04
4.000000059604644775e-01 1.696080207824707031e+01 8.507835083007812500e+02 1.902039062500000000e+04
1.000000119209289551e+00 8.194720268249511719e+00 1.943670959472656250e+02 2.540091796875000000e+03
5.000000000000000000e-01 7.805813789367675781e+00 3.579573974609375000e+02 3.721602539062500000e+03
1.000000014901161194e-01 1.646455192565917969e+01 1.065066894531250000e+03 2.281446093750000000e+04
3.000000119209289551e-01 8.384137153625488281e+00 4.662720336914062500e+02 5.285526367187500000e+03
1.000000119209289551e+00 8.303349494934082031e+00 1.956239624023437500e+02 2.596043457031250000e+03
1.000000014901161194e-01 1.736285209655761719e+01 1.121685302734375000e+03 2.491010546875000000e+04
3.000000119209289551e-01 7.917182922363281250e+00 4.411154479980468750e+02 4.711438476562500000e+03
1.000000014901161194e-01 1.386782264709472656e+01 9.021667480468750000e+02 1.677113671875000000e+04
0.000000000000000000e+00 0.000000000000000000e+00 7.853753051757812500e+02 7.819618164062500000e+03
3.000000119209289551e-01 7.316088199615478516e+00 4.087322082519531250e+02 3.987131835937500000e+03
4.000000059604644775e-01 7.012171745300292969e+00 3.568785400390625000e+02 3.365147460937500000e+03
1.000000014901161194e-01 9.769108772277832031e+00 6.458958129882812500e+02 8.314953125000000000e+03
8.000000715255737305e-01 9.812425613403320312e+00 3.198227844238281250e+02 4.600424804687500000e+03
1.000000014901161194e-01 1.661213874816894531e+01 1.073803833007812500e+03 2.314798828125000000e+04
4.000000059604644775e-01 1.489348125457763672e+01 7.483536376953125000e+02 1.502703808593750000e+04
8.000000715255737305e-01 1.628267860412597656e+01 5.449450073242187500e+02 1.329065722656250000e+04
1.000000014901161194e-01 1.514545536041259766e+01 9.812434082031250000e+02 1.972408593750000000e+04
3.000000119209289551e-01 1.156878852844238281e+01 6.390316772460937500e+02 9.539178710937500000e+03
9.000000953674316406e-01 1.450963115692138672e+01 4.247635803222656250e+02 9.312740234375000000e+03
7.000000476837158203e-01 8.248890876770019531e+00 3.025298461914062500e+02 3.422377929687500000e+03
8.000000715255737305e-01 1.616874504089355469e+01 5.399351196289062500e+02 1.307914550781250000e+04
